IL,ITOT,VOUT,VDROP
0.0001,+9.569353E-04,1.59635094,1.5521325
0.0003,+1.149094E-03,1.59567017,1.49991812
0.0005,+1.347337E-03,1.59579897,1.4477208
0.001,+1.844929E-03,1.59566534,1.31727298
0.002,+2.837908E-03,1.59550323,1.0564385
0.003,+3.826973E-03,1.5954431,0.795817735
0.004,+4.816833E-03,1.59561161,0.534970731
0.005,+5.807235E-03,1.59573415,0.274157086
0.006,+6.798925E-03,1.59581612,0.0125648664
0.007,+7.787745E-03,1.59590811,-0.248105878
0.008,+8.774197E-03,1.59602249,-0.508062059
0.009,+9.763666E-03,1.59608978,-0.768821887
0.01,+1.049987E-02,1.59556912,-1.0296283
