v /VOUT; pac dB20(V) (harmonic=0) X,v /VOUT; pac dB20(V) (harmonic=0) Y
1,-42.69279829457517
1.258925411794167,-42.69279829447372
1.584893192461114,-42.69279829432141
1.99526231496888,-42.69279829408142
2.511886431509581,-42.69279829370049
3.16227766016838,-42.69279829309457
3.981071705534974,-42.69279829214178
5.011872336272725,-42.692798290628
6.309573444801935,-42.69279828823174
7.943282347242818,-42.69279828447733
10.00000000000001,-42.69279827848408
12.58925411794168,-42.69279826896963
15.84893192461115,-42.6927982539588
19.95262314968881,-42.69279823024215
25.11886431509582,-42.69279819290956
31.62277660168382,-42.69279813431638
39.81071705534977,-42.69279804285916
50.11872336272729,-42.6927979012986
63.0957344480194,-42.69279768490922
79.43282347242825,-42.69279736003686
100.0000000000001,-42.69279688413253
125.8925411794169,-42.6927962079665
158.4893192461116,-42.69279527811796
199.5262314968883,-42.69279403220924
251.1886431509584,-42.69279237382903
316.2277660168385,-42.69279012295314
398.107170553498,-42.69278694589134
501.1872336272732,-42.69278226365241
630.9573444801945,-42.69277512878826
794.3282347242831,-42.69276403598002
1000.000000000002,-42.69274660757685
1258.92541179417,-42.69271908946798
1584.893192461117,-42.69267554611969
1995.262314968884,-42.69260657952407
2511.886431509586,-42.69249730727861
3162.277660168386,-42.69232414558792
3981.071705534981,-42.6920497247982
5011.872336272734,-42.69161482813501
6309.573444801948,-42.69092562498376
7943.282347242834,-42.68983345599334
10000.00000000003,-42.68810284096776
12589.25411794171,-42.68536089211946
15848.93192461118,-42.68101743477648
19952.62314968885,-42.67413914766102
25118.86431509587,-42.66325197170846
31622.77660168388,-42.64603269951549
39810.71705534984,-42.61883225681501
50118.72336272738,-42.57595100308485
63095.73444801952,-42.50856900161121
79432.82347242841,-42.40325181463837
100000.0000000003,-42.2400875676128
125892.5411794172,-41.99094863136135
158489.3192461119,-41.61938801697288
199526.2314968887,-41.08502656032591
251188.6431509589,-40.35372221593506
316227.7660168391,-39.40436268849698
398107.1705534988,-38.22604961143433
501187.2336272742,-36.83873263912265
630957.3444801958,-35.27670202398503
794328.2347242847,-33.5814466520622
1000000.000000004,-31.78952465870958
1258925.411794172,-29.93342296725363
1584893.19246112,-28.03957506294184
1995262.314968888,-26.12623631246013
2511886.431509591,-24.21042389703925
3162277.660168393,-22.30739020676742
3981071.70553499,-20.43237600298873
5011872.336272745,-18.60359408023205
6309573.444801961,-16.84381413052371
7943282.347242852,-15.18144247207223
10000000.00000005,-13.64996113280279
12589254.11794173,-12.2830642010735
15848931.92461121,-11.10329710482753
19952623.14968889,-10.11098774923936
25118864.31509592,-9.275873748826909
31622776.60168395,-8.537622492214435
39810717.05534992,-7.810298430070692
50118723.36272748,-6.986252489715073
63095734.44801965,-5.938082332904619
79432823.47242856,-4.521704758333199
100000000.0000005,-2.590151931199018
125892541.1794174,-0.05986690413229246
158489319.2461122,2.765788810908145
199526231.4968891,4.415055701496509
251188643.1509594,3.782804167328686
316227766.0168397,2.429914240014258
398107170.5534995,1.418268846221168
500000000,0.846767053711263
